eCO2 = 400, TVOC = 0, Mon Jan  7 14:38:28 2019
eCO2 = 409, TVOC = 1, Mon Jan  7 14:38:33 2019
eCO2 = 409, TVOC = 1, Mon Jan  7 14:38:39 2019
eCO2 = 409, TVOC = 1, Mon Jan  7 14:38:44 2019
eCO2 = 414, TVOC = 2, Mon Jan  7 14:38:49 2019
eCO2 = 421, TVOC = 3, Mon Jan  7 14:38:54 2019
eCO2 = 416, TVOC = 2, Mon Jan  7 14:38:59 2019
eCO2 = 421, TVOC = 3, Mon Jan  7 14:39:04 2019
eCO2 = 421, TVOC = 3, Mon Jan  7 14:39:09 2019
eCO2 = 421, TVOC = 3, Mon Jan  7 14:39:14 2019
eCO2 = 421, TVOC = 3, Mon Jan  7 14:39:19 2019
eCO2 = 421, TVOC = 3, Mon Jan  7 14:39:24 2019
eCO2 = 427, TVOC = 4, Mon Jan  7 14:39:29 2019
eCO2 = 427, TVOC = 4, Mon Jan  7 14:39:34 2019
eCO2 = 427, TVOC = 4, Mon Jan  7 14:39:39 2019
eCO2 = 432, TVOC = 4, Mon Jan  7 14:39:44 2019
eCO2 = 427, TVOC = 4, Mon Jan  7 14:39:49 2019
